latitud,longitud
37.37510637209592, -6.000130008033454
37.374697124203955, -6.000087092688861
37.37933149365918, -5.9993097538069
37.37985394322058, -5.998630234496053
37.374498505572646, -6.003829142276622
37.378536132514455, -6.0002622995805845
37.37219271563359, -6.005165505692329
37.37394354599011, -6.042347594541994
37.379825970692806, -5.999878382122778
37.37375301334405, -5.999232345290363
37.37581167928146, -5.9978733829034
37.37493249281873, -6.004276223898383
37.371757872784094, -6.004339385308884
37.375648208384355, -5.996066578749658
37.37485225470016, -6.000791803547033
37.37878337406085, -5.999661484756261
37.37973458703824, -5.998898455399768
37.37932536439953, -5.998758980529836
37.37532369047106, -5.9970823405756875
37.37932536439953, -5.998737522857539
37.37290197360269, -6.0000305753949545
37.37547844422412, -5.998236662084203
37.37161080118291, -6.002040145167278
37.37239857800664, -5.999572561502383
37.37605040394247, -5.997444229457455
37.3789709360696, -5.999446908033288
37.37244041889121, -5.998238775293616
37.37469220598264, -5.998278615464301
37.36833197474951, -6.0081210851418065
37.37746218109753, -6.002398504327274
37.37290957818824, -6.001494648705992
37.37182148737987, -6.000367571785326
37.376626657186904, -6.004179491127947
37.372423070405574, -6.00008470302762
37.37309306729085, -5.99553433872277
37.3744341116355, -5.994783240575747
37.37762288721431, -5.997876689870575
37.37128019703235, -5.996006261448808
37.374518015865284, -5.997621733163564
37.375682464854826, -5.996307111739541
37.37912370677226, -5.999843773412106
37.378935651868375, -5.999528233208718
37.377265561729175, -5.997543525958462
37.371146068660536, -6.000477617819133
37.3784543731635, -6.000130756934885
37.37574289283533, -6.003320616407427
37.37419829317956, -5.998598896945144
37.37348483670644, -5.9986706582937215
37.37506469026516, -5.9977997466551
37.37289690387857, -6.0020337083782485
37.37067402100857, -6.001565773275444
37.373125681894976, -5.9978784853920395
37.37591338823801, -6.002995241564848
37.375349268316064, -5.9969321368696065
37.37297749831362, -6.000792979197452
37.3801669874371, -6.0000822300096015
37.36921919217098, -6.003842358293919
37.37188969813178, -6.0005177754914065
37.37720676826618, -6.001778136036201
37.37949285021229, -5.999116277943186
37.37281765536379, -6.011189588734794
37.37074303131778, -5.996682178126172
37.378879931806274, -6.000404733773682
37.37862919101461, -6.000080428564646
37.377478203559896, -5.9991048197093155
37.37437488971634, -6.004234888982827
37.371871035567594, -6.005351569412035
37.37692328568509, -6.001909261999596
37.376991491797774, -6.00187707549115
37.376781987969785, -6.001830811739481
37.37796832079876, -5.999643646654966
37.37804064136598, -6.002986381050219
37.37684645581373, -6.002429599005715
37.37901226688612, -5.99925651803358
37.37205137737964, -5.994566354587699
37.37285634607319, -6.002563198943896
37.37620489455115, -5.996606246655063
37.37731858902015, -6.001332535365053
37.376943116580144, -5.997914899263127
37.37100735143578, -5.999589692722453
37.36839267924401, -6.003007721118437
37.37355103197675, -5.996979197411106
37.37972368677431, -6.000139909047735
37.37642599462652, -6.001991304327342
37.373638015265364, -5.99538757734435
37.37561321409983, -6.00490870719599
37.372034270345026, -6.004967106610666
37.3717576744385, -5.998023282644752
37.37440379784313, -5.996429570427774
37.38100258669978, -5.999897298111809
37.373911143435265, -5.998627742949126
37.36719576023701, -6.003774565706188
37.3802864577251, -6.0004551975915374
37.367338754376604, -6.005567132204061
37.37396146377477, -6.0104029019541505
37.37602281509542, -5.997017967558795
37.37563263528707, -5.9978304675588054
37.37666042369326, -6.000290921524951
37.3760133597429, -6.009036809743879
37.37295191965983, -6.0009968270842755
37.37509339807235, -6.009708138722662
37.37328635577596, -6.001642573958466
37.374560646060026, -5.9977397503612
37.37019122324803, -6.003627781570946
37.37306420459396, -6.002505784304248
37.37463738034946, -5.998662430269982
37.37311850715293, -5.995759640125929
37.3759107639197, -5.998455988102159
37.37617789561569, -5.998398659360841
37.37574924196757, -5.998369994990182
37.3759107639197, -5.998492470028452
37.3758812431523, -5.998373309504737
37.37302618173687, -6.001287318062817
37.37898206237809, -5.997333106272283
37.374314400340616, -5.997907035016586
37.37254611705388, -6.011400683715974
37.379757881952514, -6.0012062161219415
37.37886270480814, -6.002429303442888
37.37673716894685, -6.004833877344221
37.37648990754263, -5.999915412259748
37.37211266915519, -5.994186983832483
37.37847052859801, -5.998159226655728
37.37617256869027, -5.99998189454189
37.372135351711165, -6.006349351173858
37.37224619368776, -6.006864335308992
37.37296502834461, -6.000941468636461
37.37301857716311, -6.003079930700734
37.379061021856685, -5.999046157897989
37.37697674938552, -6.004383408033382
37.37827443972391, -5.998867329841539
37.37356994643713, -5.998562702320145
37.3717576744385, -6.0001154056937365
37.374458231970024, -5.9939508625703075
37.370906481132394, -6.001537251351067
37.37184579027062, -6.000946281209488
37.37130829486953, -6.0046434662262245
37.3675855357058, -6.001395482903797
37.37353971979318, -6.0000342503612885
37.37943713056416, -5.998686792666354
37.37679539905668, -6.001651769932029
37.37963214915141, -5.998949742835843
37.37798456827524, -5.999725636733429
37.37365452338016, -6.0114865144051635
37.37318247262015, -5.995490127560026
37.37351564414262, -5.994813324406888
37.37581289961353, -6.004104493999331
37.37387522764863, -5.994619024394138
37.37251373628004, -5.9940516295577435
37.375959912741735, -5.9977997466551
37.37599346093499, -5.998176468946021
37.37687955683059, -6.014126463852651
37.37486162318081, -5.998910566565131
37.37881724668694, -6.000466088813229
37.37170050852911, -6.006896521817438
37.37543997286979, -5.996796170727074
37.377097067062444, -5.9969321368696065
37.371572612995855, -6.006124045614737
37.374054751279985, -5.994687461160845
37.373062760429875, -6.001104115445762
37.374698386927015, -5.9970771306578134
37.37847596011813, -6.000238198666339
37.37541515142405, -5.994962935966715
