latitud;longitud;precio_numero;num_banos;num_habitaciones;m2;anio_construccion;Parqueadero;Parque;Avenidas_principales;Colegios;Armario;Balcon;Patio;Bodega;Seguridad;OBJECTID;CODPAR;distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION
-1.04848106;-80.46583998;260000;4;5;93;2000;1;1;1;1;1;0;1;1;0;626;6770;0.415851126;0.813359831;0.425619021;0.173674089;0.169775258;0.113255308
-1.053468746;-80.45464848;46500;2;3;72;2009;1;1;1;1;1;0;1;0;0;626;6770;0.046890981;0.297562485;0.076385473;0.151683349;0.064874234;0.320366895
-1.034897998;-80.45858814;148014.6347;7;6;93;2006;1;1;1;1;1;1;1;1;0;627;5280;0.491550656;1.084582892;0.803633192;0.930809706;0.202126654;0.186764243
-1.034897998;-80.45858814;78000;3;3;98;2013;1;1;1;1;0;0;0;0;0;627;5280;0.491550656;1.084582892;0.803633192;0.930809706;0.202126654;0.186764243
-1.053059343;-80.46018351;114000;4;5;93;1982;1;1;1;1;0;1;0;0;0;626;6770;0.151878257;0.635332372;0.376573459;0.125344516;0.17053363;0.220622523
-1.047805256;-80.46645152;185000;4;4;93;2022;1;1;1;1;0;0;1;1;1;626;6770;0.429400447;0.712303003;0.391152404;0.20801822;0.163495306;0.141107392
-1.04866422;-80.47104748;185000;6;8;93;2020;1;1;1;1;0;0;0;0;1;626;6770;0.818231801;0.664483018;0.516920864;0.173508165;0.314988518;0.387900681
-1.049189044;-80.46457398;350000;6;13;600;2017;0;1;1;1;0;1;0;0;0;626;6770;0.392788247;0.964204582;0.264578683;0.065228237;0.143277369;0.123938385
-1.036099431;-80.46250417;400000;6;8;596;2017;0;1;1;1;0;0;0;0;0;627;5280;0.192978294;1.051988022;0.646176757;0.846288849;0.200353975;0.327009185
-1.035208497;-80.46444141;125000;4;3;189;2017;0;1;1;1;0;1;0;0;1;626;6770;0.197139161;0.29906793;0.589347756;0.519806921;0.200009458;0.201812531
