titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,condicion,armarios_empotrados,terraza,balcon,garaje,calefaccion,aire_acondicionado
Estudio en venta en Asunción - Adolfo Suárez,Los Remedios,140000,1.0,1,0,Bajo,1.0,55,Segunda mano/buen estado,0,0,0,0,1,1
"Piso en venta en calle Virgen de la Cinta, 22",Ramón de Carranza - Madre Rafols,335000,1.0,2,0,Ultimos_pisos,2.0,94,Segunda mano/buen estado,1,0,0,0,0,1
Piso en venta en calle Virgen de la Cinta,Ramón de Carranza - Madre Rafols,380000,1.0,2,0,Primeros_pisos,4.0,107,Segunda mano/buen estado,0,0,0,0,1,1
Ático en venta en Republica Argentina,Plaza de Cuba - República Argentina,1300000,1.0,4,0,Ultimos_pisos,4.0,300,Segunda mano/para reformar,1,1,0,1,1,0
Piso en venta en calle Montecarmelo,Asunción - Adolfo Suárez,350000,1.0,2,0,Ultimos_pisos,4.0,120,Segunda mano/buen estado,1,1,1,0,0,0
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,800000,1.0,4,0,Ultimos_pisos,5.0,280,Segunda mano/para reformar,1,0,1,1,0,1
"Piso en venta en calle Fernando IV, 18",Ramón de Carranza - Madre Rafols,345000,0.0,2,0,Muchas_plantas,3.0,117,Segunda mano/buen estado,1,0,0,0,1,1
"Piso en venta en calle Virgen de la Antigua, 40",Ramón de Carranza - Madre Rafols,399000,1.0,2,1,Bajo,4.0,130,Segunda mano/buen estado,1,0,0,1,0,0
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,895000,1.0,3,0,Ultimos_pisos,5.0,277,Segunda mano/buen estado,1,1,1,1,1,1
Piso en venta en Ramón de Carranza - Madre Rafols,Los Remedios,380000,1.0,2,0,Primeros_pisos,3.0,107,Segunda mano/buen estado,0,0,0,0,1,1
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,710000,1.0,4,1,Ultimos_pisos,5.0,232,Segunda mano/buen estado,1,1,0,1,1,1
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,710000,1.0,4,1,Ultimos_pisos,5.0,232,Segunda mano/buen estado,1,1,0,1,1,1
"Estudio en venta en calle Salado, 4",Plaza de Cuba - República Argentina,155000,1.0,1,0,Primeros_pisos,1.0,32,Segunda mano/buen estado,1,0,0,0,0,1
"Piso en venta en calle Monte Carmelo, 63",Asunción - Adolfo Suárez,350000,1.0,2,0,Ultimos_pisos,4.0,120,Segunda mano/para reformar,1,1,0,0,0,1
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,220000,0.0,1,0,Primeros_pisos,3.0,85,Segunda mano/para reformar,0,1,0,0,1,0
"Piso en venta en calle Hispano Aviación, 4",Tablada,330000,1.0,1,1,Ultimos_pisos,2.0,90,Segunda mano/buen estado,1,0,0,1,1,1
Ático en venta en República Argentina,Plaza de Cuba - República Argentina,1100000,1.0,3,0,Ultimos_pisos,3.0,313,Segunda mano/para reformar,1,1,0,1,0,0
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,559000,1.0,3,0,Ultimos_pisos,4.0,150,Segunda mano/buen estado,1,1,0,0,0,1
Ático en venta en avenida Republica Argentina,Plaza de Cuba - República Argentina,740000,1.0,2,1,Ultimos_pisos,4.0,230,Segunda mano/para reformar,0,1,0,1,0,0
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,399500,1.0,2,0,Primeros_pisos,3.0,143,Segunda mano/buen estado,0,0,0,0,0,0
"Ático en venta en calle Monte Carmelo, 78",Asunción - Adolfo Suárez,220000,1.0,1,1,Muchas_plantas,1.0,62,Segunda mano/buen estado,1,1,0,0,1,1
"Piso en venta en avenida República Argentina, 43",Plaza de Cuba - República Argentina,460000,1.0,1,0,Muchas_plantas,2.0,102,Segunda mano/buen estado,1,1,0,1,0,0
"Piso en venta en calle Arqueros, 6",Parque de los Principes - Calle Niebla,210000,0.0,1,1,Primeros_pisos,3.0,80,Segunda mano/buen estado,0,1,0,0,0,0
