titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,condicion,armarios_empotrados,terraza,balcon,garaje,calefaccion,aire_acondicionado
Piso en venta en calle Virgen de Regla,Asunción - Adolfo Suárez,870000,1.0,4,1,Primeros_pisos,4.0,282,Segunda mano/buen estado,1,1,0,1,0,1
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,460000,1.0,2,0,Primeros_pisos,4.0,166,Segunda mano/buen estado,1,1,1,0,1,1
"Piso en venta en calle Virgen de Luján, 15",Ramón de Carranza - Madre Rafols,470000,1.0,3,1,Primeros_pisos,3.0,130,Segunda mano/buen estado,1,1,1,1,1,1
Piso en venta en calle Juan Sebastián Elcano,Asunción - Adolfo Suárez,379000,1.0,2,0,Muchas_plantas,3.0,167,Segunda mano/buen estado,0,1,0,0,0,1
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,345000,1.0,2,1,Primeros_pisos,4.0,105,Segunda mano/buen estado,1,1,0,1,1,1
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,590000,1.0,2,0,Primeros_pisos,5.0,250,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en calle Asunción,Plaza de Cuba - República Argentina,560000,1.0,3,1,Primeros_pisos,5.0,198,Segunda mano/buen estado,1,0,1,0,0,1
Piso en venta en Flota De Indias,Ramón de Carranza - Madre Rafols,550000,1.0,2,0,Primeros_pisos,4.0,141,Segunda mano/buen estado,1,1,1,0,0,1
"Piso en venta en avenida de la República Argentina, 13",Plaza de Cuba - República Argentina,885000,1.0,3,1,Ultimos_pisos,7.0,295,Segunda mano/buen estado,1,1,0,1,0,1
Piso en venta en calle Virgen de Todos los Santos,Parque de los Principes - Calle Niebla,185000,0.0,1,0,Primeros_pisos,3.0,67,Segunda mano/buen estado,1,1,0,0,0,1
Piso en venta en calle Juan Ramón Jiménez,Parque de los Principes - Calle Niebla,650000,1.0,3,0,Ultimos_pisos,3.0,170,Segunda mano/buen estado,1,0,0,1,0,1
Piso en venta en calle Fernando IV,Asunción - Adolfo Suárez,260000,1.0,1,1,Primeros_pisos,3.0,88,Segunda mano/buen estado,1,0,0,0,1,1
