latitud;longitud;precio_numero;anio_construccion;RAKING_TOTAL
-1.054741613;-80.47272619;53000;2017;23.84818971
-1.033254633;-80.47591515;118000;2017;21.11018402
-1.05629619;-80.45499974;250000;2017;23.27338951
-1.039035761;-80.47425309;95000;2017;23.2497382
-0.858587573;-80.53091107;235000;2017;16.62784299
-0.858721668;-80.53336261;135000;2017;16.44008804
-1.041899815;-80.47063779;295000;2017;26.26871771
-1.05712217;-80.45606189;73500;2017;22.96247149
-1.057347437;-80.45591169;75000;2017;22.68754631
-1.037859778;-80.47581956;250000;2017;21.15902747
-0.8610442;-80.53368447;240000;2017;16.70302891
-1.049221225;-80.46478855;1190000;2017;23.43799279
-1.057572705;-80.45688801;95000;2017;23.96466379
-1.056386495;-80.45288895;85000;2017;23.51844406
-1.063662733;-80.44626388;93000;2017;22.93867556
-1.039373304;-80.47457223;70000;2017;23.19735619
-1.058142076;-80.47208246;45000;2017;21.99150896
-1.053447292;-80.4498956;80000;2017;21.31622582
-1.046443246;-80.47194599;130000;2017;21.15088312
-1.059861244;-80.46606435;112000;2017;24.25330898
-1.055320032;-80.45566493;75000;2017;24.40220351
-1.055792021;-80.45746737;80000;2017;24.19254205
-1.009541251;-80.46631433;91900;2017;16.25796353
-1.050079388;-80.4651426;1190000;2017;22.86147946
-1.057298291;-80.45401548;265000;2017;23.23813277
-1.055509158;-80.47694591;150000;2017;22.51183657
-1.056507896;-80.45552479;55000;2017;23.14287276
-1.063544982;-80.45419022;80000;2017;22.92379876
-1.054173081;-80.47517236;180000;2017;22.26195393
-1.0622012;-80.47077134;85000;2009;23.97790437
-1.031860111;-80.48097916;112000;2023;19.80018795
-1.062372832;-80.47079279;74000;2009;23.91607295
-1.062177128;-80.47761727;89000;2024;19.19894899
-1.011787679;-80.46805576;102000;2023;18.0327597
-1.065048931;-80.45432197;84990;2023;21.82123729
-1.0065195;-80.46557623;98000;2024;15.80211004
-1.020593005;-80.46251745;63000;2023;19.52885726
-1.049127667;-80.466823;260000;2000;22.7228121
-1.035228417;-80.4747028;88500;2023;21.64522598
-1.056490353;-80.45540542;79000;2013;23.1523808
-1.021489607;-80.48013266;105000;2024;23.50089379
-1.054434789;-80.45424341;50000;2021;25.13714951
-1.050337066;-80.45336365;48000;2006;24.82115784
-1.053169001;-80.45767664;39000;2017;23.89845211
-1.054306065;-80.45529484;86000;2023;25.23912547
-1.051281044;-80.45106768;76000;2015;26.39359614
-1.054778054;-80.4530847;83000;2001;24.96241122
-1.054284611;-80.45544504;350000;2008;25.25201391
-1.055834929;-80.45654469;105000;2024;23.71619965
-0.878327641;-80.54282356;160000;2013;22.77864335
-1.052718466;-80.45626043;250000;2020;25.79375834
-1.021500335;-80.47833021;99000;2024;22.569583
-1.034101233;-80.4666536;230000;2012;23.72090827
-1.052997369;-80.45892119;230000;2012;23.41609395
-1.055376861;-80.47076584;63000;2001;23.82588
-1.053018823;-80.45514464;260000;2000;26.36179151
-1.132271408;-80.40367818;195000;2003;15.0039492
-1.056936675;-80.47171531;148014.6347;2006;23.00254486
-1.054263157;-80.45411467;45000;2009;25.2715753
-1.052525639;-80.45657926;92000;2004;25.45233675
-1.051881758;-80.45495152;48000;2006;25.70144902
-1.03242821;-80.46391039;260000;2016;22.315287
-1.04513801;-80.01480994;43000;2016;20.40041628
-1.052782828;-80.45611023;48500;2023;25.91425054
-1.05115232;-80.45314907;46500;2009;25.71196586
-1.054413335;-80.45398592;74000;2021;25.1626692
-1.033651196;-80.46756871;83000;2024;24.32311956
-1.022579948;-80.47625018;450000;1994;22.62145501
-1.021936321;-80.47526313;150000;2019;21.89057043
-1.053383491;-80.45390056;35000;2022;25.6374361
-1.035646434;-80.4652719;105000;2024;22.69870403
-1.022103443;-80.47070664;100000;2024;18.01606587
-1.031028402;-80.47753018;148014.6347;2002;19.56613532
-1.046963474;-80.45584734;270000;2010;23.17535955
-1.026823376;-80.46658676;93000;2023;24.32472426
-1.024248868;-80.46577137;88000;2023;21.97181565
-1.05295441;-80.45162604;180000;2000;26.65039587
