distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION;Factor1;Factor2;Factor3;CLUSTERS
0.044101013;1.322402716;0.467324308;0.833599313;0.123477959;0.755370291;1.309978563;1.723068081;1.11711966;1
1.259134586;1.526359216;0.16163982;0.266326461;0.189285503;0.741278539;1.194159797;1.847274132;1.831246918;3
1.074108786;1.433416169;0.319455298;1.12688241;0.346309378;0.824202655;1.220980421;1.822518845;1.677406204;0
1.248407819;1.497583375;0.090702718;0.482666522;0.143619301;0.681450275;0.958102822;1.841661607;1.768276903;3
1.024433889;1.410890181;0.290801688;1.123527657;0.320318591;0.796314067;1.221625494;1.808005875;1.632549627;0
1.153044301;1.054376971;0.47333051;0.737089764;0.350596683;0.551138424;1.217633177;1.854469595;1.914122689;3
1.184310653;1.513683108;0.179161839;0.182506171;0.255720579;0.72935562;1.411195529;1.850636432;1.841021589;3
0.607916238;1.068481504;0.33400277;0.788808908;0.206367035;0.883768821;1.585361448;1.843142692;1.768143243;1
0.841494121;0.638134005;0.028175501;0.573720049;0.275565593;0.269149967;1.01414175;1.842065316;1.843793678;1
1.251928453;1.424624411;0.108715878;0.328433556;0.120660775;0.507481309;1.506193038;1.81848881;1.807194076;3
1.019344622;1.480194335;0.294381185;0.265616057;0.263327957;0.731381647;0.737227602;1.79454158;1.620092725;3
1.489729975;1.991885697;0.057749482;0.127890062;0.408268885;0.346752045;0.916376783;1.848956626;1.648758268;3
1.087135179;1.429981051;0.227693951;0.326123895;0.154231887;0.60566694;1.277690275;1.87289747;1.904482879;3
1.00186029;1.43958957;0.299704473;0.301416324;0.221291831;0.678752611;1.11863818;1.840570202;1.804934125;3
1.212059612;1.474548811;0.638506236;0.682762178;0.279882177;0.554823709;1.133648742;1.797393379;1.465627069;0
0.786013585;0.585734793;0.372119425;0.463723895;0.179274167;0.924245037;1.168403874;1.90863075;1.874509747;1
1.106369684;1.532506904;0.443313139;0.682905065;0.222171037;0.389335573;1.430907335;1.880183499;1.810893441;3
0.298819632;1.105473273;0.114856065;0.634799465;0.093453206;0.721144633;1.174782665;1.874779927;1.771305308;1
1.175746591;1.656073806;0.640408184;1.346611599;0.255234248;0.537647524;1.568780704;1.796399938;1.831261652;0
1.175746591;1.656073806;0.640408184;1.346611599;0.255234248;0.537647524;1.071109026;1.74409724;1.57655157;2
0.704049727;1.42680317;0.409681924;0.569148815;0.222975615;0.591973454;1.309279497;1.803156735;1.485833986;1
1.119629655;1.475688631;0.419953736;0.748766435;0.21545055;0.451628577;1.325252864;1.838011792;1.686246265;3
1.389832358;1.445970254;0.4997291;0.682561344;0.354131842;0.790883724;1.384400751;1.761874663;1.369783299;0
1.082824349;1.60550986;0.32144813;0.366784656;0.193079661;0.414296261;1.464165379;1.762141385;1.420976558;3
0.796592273;1.642953348;0.568826759;1.306883768;0.253486297;0.728522232;1.38171609;1.688114817;1.443099093;0
0.804949226;1.107589017;0.53979128;1.106212919;0.253145768;0.562634968;1.228057477;1.791412821;1.479296379;0
0.917042915;1.369569653;0.351129815;1.055887621;0.216978418;0.466565094;1.231770754;1.791840206;1.417147663;0
0.097474103;0.8070818;0.227515402;0.820587469;0.121912316;0.666966098;1.244148159;1.810378973;1.563400175;1
1.077797787;1.587312264;0.355872531;0.39877339;0.190134843;0.474658477;1.543130921;1.723144699;1.166554445;3
1.639897957;1.811145082;0.537228826;1.581747672;0.051963027;0.741542718;1.33464303;1.792789842;1.571636109;2
0.711846298;1.239841835;0.293122666;0.952295143;0.587981884;0.614470846;1.352731706;1.839606717;1.909263512;1
0.997553436;1.289537223;0.29221869;0.863199041;0.244466917;0.53504794;1.283924334;1.810474385;1.595620161;3
1.131322037;1.147888497;0.397566944;1.53039484;0.281618139;0.60959074;1.096871654;1.76817451;1.674861763;2
1.154561718;1.455639667;0.35444163;0.975947267;0.134792654;0.649307449;1.15667944;1.763402046;1.405648978;0
1.272096594;1.311404251;0.306922896;0.786076566;0.166149264;0.438915063;1.33305686;1.816684793;1.595361459;3
1.167049451;1.380120706;0.390389575;1.086358632;0.21516178;0.354770633;1.197025903;1.792541651;1.778015935;0
1.243700056;1.181141639;0.661935615;1.394652081;0.343430051;0.798622354;1.052557103;1.764591277;1.68065708;2
0.153076254;1.175822587;0.401499042;0.706253381;0.143204576;0.371456469;1.044897252;1.764691005;1.633541786;1
1.106309445;1.188994909;0.634397155;1.388531379;0.287477844;0.299353042;1.165114253;1.868350524;1.741263323;0
0.92885375;1.234825392;0.295284371;0.44211679;0.371250964;0.226310475;1.169368555;1.826048378;1.596690401;3
0.768291711;0.690167413;0.027511348;0.496289045;0.267566232;0.293236956;0.973993226;1.740733549;1.597975585;1
0.470014034;1.184783244;0.174621205;0.63139608;0.215787748;0.720615803;0.801029064;1.790419188;1.515633958;1
0.733418764;1.261998247;0.205352836;0.054160209;0.290857636;0.552744054;1.200703267;1.886786347;1.81032563;1
0.976039182;0.936320635;0.700702772;0.947445474;0.049454989;0.593333621;1.393951522;1.724126373;1.61087619;1
1.618941605;1.356552098;0.87443596;1.473467327;0.806253331;0.89799986;1.15686699;1.725117752;1.565113319;2
1.260310382;0.955645196;0.971956887;1.272154081;0.277138933;0.896664851;1.212164133;1.74663147;1.658055923;2
0.330015689;1.422178251;0.390585089;1.01982792;0.137442965;0.416328404;1.044348462;1.840547517;1.629869289;1
